Date,Manufacturing Overall,Manufacturing Output,Manufacturing New orders,Manufacturing Export orders,Manufacturing Input prices,Manufacturing Suppliers delivery times,Manufacturing Stocks of purchases,Manufacturing Finished goods inventories,Manufacturing Employment,Manufacturing Output prices,Manufacturing JPMorgan global manufacturing PMI - quantity of purchases,Manufacturing Backlogs of work,Manufacturing Future output,Services Business activity,Services New business,Services Input prices,Services Employment,Services Backlogs of work,Services Output prices,Services Future business activity,All-industry Output/business activity,All-industry New business,All-industry Input prices,All-industry Employment,All-industry Output prices,All-industry Backlogs of work,empty
1998-01-01,53.512154,55.488983,56.505276,47.900753,46.859097,48.110832,48.731899,47.93359,50.158798,,,,,,,,,,,,,,,,,,
1998-02-01,53.553192,55.662796,55.617725,49.885628,45.915413,48.022751,49.830746,48.513088,50.862576,,,,,,,,,,,,,,,,,,
1998-03-01,53.81506,56.04306,56.114479,48.534576,43.907654,47.887577,50.080982,49.034271,50.724941,,,,,,,,,,,,,,,,,,
1998-04-01,53.689693,55.300556,56.289524,49.871727,42.338467,47.253716,49.753948,50.426868,50.451794,,,,,,,,,,,,,,,,,,
1998-05-01,52.74128,54.238132,54.105774,48.91885,41.548912,47.538704,49.562962,49.922569,50.622623,,,,,,,,,,,,,,,,,,
1998-06-01,51.533054,52.822094,53.143246,48.542454,40.520065,48.250305,47.763443,49.789879,49.228798,,,,,,,,,,,,,,,,,,
1998-07-01,51.016182,51.985264,53.358852,47.339523,38.712673,49.458717,48.044987,50.21299,48.132599,,,,,58.032288,58.380974,49.970181,55.790237,51.070026,,,55.666405,56.41608,45.565708,52.794205,,,
1998-08-01,50.661579,51.408607,52.852081,46.156273,38.732712,50.050125,47.798504,49.753208,48.407368,,,,,53.457184,56.090618,49.943432,55.672356,52.823933,,,52.655685,54.823547,45.557266,52.829948,,,
1998-09-01,49.320969,51.053242,50.202694,44.960148,36.170891,50.673107,46.433861,49.115921,47.272148,,,,,56.902748,56.049789,48.535671,56.499012,50.952084,,,54.614143,53.762127,43.697983,52.889027,,,
1998-10-01,48.05814,50.439041,47.400951,43.524307,34.389591,52.49799,48.29158,48.284649,46.368183,,,,,54.451488,55.023163,50.397366,55.715973,47.748562,,,52.881626,52.040989,44.134361,52.058674,,,
1998-11-01,47.081455,48.656475,46.724159,42.465199,34.347141,53.059685,47.088444,49.169811,45.750988,,,,,54.124229,53.18581,48.574608,55.212158,45.963928,,,51.984985,50.657703,43.008148,51.510498,,,
1998-12-01,46.444504,47.287209,48.054482,43.730896,33.220276,54.232136,45.741814,48.821301,43.834972,,,,,52.964096,53.234528,49.399742,54.251301,45.968475,,,50.743027,51.207848,43.069565,50.175938,,,
1999-01-01,48.723099,51.706764,50.221703,46.610466,33.503292,52.838524,46.118271,48.276852,45.219242,,,,,55.695305,55.765213,48.648823,54.428699,47.102779,,,54.1348,53.596329,42.723171,50.825523,,,
1999-02-01,49.853664,52.490269,52.174427,49.007931,34.761211,52.064415,46.707233,48.86179,46.088547,,,,,55.32502,55.374973,48.067375,54.904476,48.726345,,,54.215931,54.122768,42.861374,51.455265,,,
1999-03-01,50.737183,53.284916,53.066071,48.12553,39.891384,50.939499,46.93055,49.217571,47.220009,,,,,56.976105,56.877506,50.442482,54.184158,51.640118,,,55.531937,55.386292,46.314388,51.459454,,,
1999-04-01,51.253372,54.609554,53.330456,49.551384,44.163319,51.967335,48.454269,48.872742,47.757595,,,,,57.591339,57.710926,52.186729,54.873474,49.588253,,,56.424725,55.997078,49.047588,52.089401,,,
1999-05-01,52.333046,55.900707,55.073658,49.941071,47.656277,50.454704,46.936111,48.035252,48.551834,,,,,56.572556,56.451004,53.29475,55.355274,49.15538,,,56.309696,55.912121,51.088715,52.693447,,,
1999-06-01,53.548111,57.938595,56.528873,51.185375,49.574104,49.628944,47.475262,47.81226,49.00808,,,,,57.460304,58.755486,53.73452,56.681999,50.563526,,,57.647434,57.884331,52.10677,53.6796,,,
1999-07-01,53.12709,56.802307,55.528637,51.834995,52.184578,48.561012,47.275578,47.20916,49.122585,,,,,59.4464,58.462181,56.412979,56.187805,49.846634,,,58.411903,57.314438,54.758629,53.423557,,,
1999-08-01,54.082336,57.519867,57.186871,53.580399,56.392334,48.9035,48.188152,47.199661,50.315086,,,,,59.464546,59.257236,57.035732,55.656521,50.987782,,,58.703693,58.447212,56.784004,53.566696,,,
1999-09-01,55.690319,58.840244,60.681232,54.640564,61.333019,46.573425,47.287144,46.09425,50.165936,,,,,59.041664,59.717197,60.20076,55.662411,52.508389,,,58.96286,60.094372,60.643753,53.511929,,,
1999-10-01,56.524017,59.288895,60.604034,54.89875,64.913498,45.050156,49.90567,46.992538,51.43771,,,,,60.35651,60.952705,57.761604,55.826504,51.971516,,,59.938808,60.816288,60.559765,54.109398,,,
1999-11-01,56.985748,59.526398,61.259586,55.220531,63.424656,44.110245,50.088654,46.804829,51.66972,,,,,58.149593,57.031872,58.946362,55.062004,49.576557,,,58.688267,58.685955,60.698483,53.734779,,,
1999-12-01,57.0914,59.878563,60.201752,55.144287,63.48484,43.609653,50.618027,47.99979,52.704388,,,,,59.656921,60.049843,59.509335,56.642765,50.051083,,,59.743637,60.10928,61.064743,55.101883,,,
2000-01-01,55.377113,57.196899,59.172119,53.04953,67.055,46.972534,51.859474,47.016418,50.930927,,,,,57.993877,60.083839,60.363388,56.166847,48.92252,,,57.68206,59.727131,62.981464,54.118308999999996,,,
2000-02-01,55.310745,58.039009,58.421516,53.926296,66.933807,46.198612,48.108685,47.863441,51.9673,,,,,58.284836,59.248192,63.963146,56.374702,50.913982,,,58.188656,58.924755,65.125412,54.650318,,,
2000-03-01,55.652859,59.139183,58.262211,54.891865,71.262398,45.23444,49.80162,49.06794,50.972015,,,,,60.365356,61.500443,65.336273,58.002937,52.035679,,,59.885616,60.233494,67.654854,55.252106,,,
2000-04-01,55.982445,59.071918,58.022476,53.144745,68.071976,43.70623,49.228245,48.062119,52.204166,,,,,61.189568,61.807621,62.876423,58.070347,53.783249,,,60.361046,60.326691,64.909172,55.775219,,,
2000-05-01,54.90873,57.725224,55.355202,55.080006,65.997421,43.645824,49.726147,47.478828,52.225616,,,,,60.044182,60.945316,62.902275,57.582821,52.436451,,,59.136894,58.758198,64.113243,55.486828,,,
